DATE,WIND_DIRECTION,WIND_SPEED,CLOUD_COVER_TOTAL,PRESSURE_AIR_SURFACE_REDUCED,PROBABILITY_RADIATION_GLOBAL_LAST_1H,RADIATION_GLOBAL,TEMPERATURE_AIR_200,TEMPERATURE_DEW_POINT_200,WEATHER_SIGNIFICANT,TEMPERATURE_AIR_200DEGC,DEW_POINT_DEGC,RAD_WH,DHI_ERBS,DNI_DISC,DNI_DIRINDEX,GHI_CLEARSKY,DNI_CLEARSKY,DHI_CLEARSKY,AZIMUTH,ZENITH,ELEVATION,Ost_ac,Ost_aoi,Ost_cell_temperature,Ost_effective_irradiance,Ost_dc_i_sc,Ost_dc_v_oc,Ost_dc_i_mp,Ost_dc_v_mp,Ost_dc_p_mp,Ost_dc_i_x,Ost_dc_i_xx,Ost_diode_params_I_L,Ost_diode_params_I_o,Ost_diode_params_R_s,Ost_diode_params_R_sh,Ost_diode_params_nNsVth,Ost_total_irrad_poa_global,Ost_total_irrad_poa_direct,Ost_total_irrad_poa_diffuse,Ost_total_irrad_poa_sky_diffuse,Ost_total_irrad_poa_ground_diffuse,West_ac,West_aoi,West_cell_temperature,West_effective_irradiance,West_dc_i_sc,West_dc_v_oc,West_dc_i_mp,West_dc_v_mp,West_dc_p_mp,West_dc_i_x,West_dc_i_xx,West_diode_params_I_L,West_diode_params_I_o,West_diode_params_R_s,West_diode_params_R_sh,West_diode_params_nNsVth,West_total_irrad_poa_global,West_total_irrad_poa_direct,West_total_irrad_poa_diffuse,West_total_irrad_poa_sky_diffuse,West_total_irrad_poa_ground_diffuse,ALL_AC_POWER
2021-03-31 10:00:00+00:00,193.0,3.09,18.0,102290.0,69.0,2070.0,293.05,276.25,0.0,19.900000000000034,3.1000000000000227,575.0004600000001,169.04563126816154,664.2566769862344,680.9891828691606,593.8494824709226,776.4041627308346,107.31154624548248,148.41458529353218,51.216877767617994,38.783122232382006,1646.5618446747203,35.01376710970778,41.213116581567704,737.5003490263199,7.884668875364644,272.637116273271,7.340413329989736,233.62770106591523,1714.9238911591015,7.775213814059989,5.844788735913209,7.888150589307518,3.15776702951518e-10,0.078582,177.9563415438007,1.628729910159076,737.5003490263199,544.0356514932636,193.46469753305635,184.04797883522627,9.416718697830069,498.4569583463881,81.88978588951338,25.63447104974869,198.4305948163629,2.1146060575702323,310.5831162584982,1.9750498229327922,270.3822524789226,534.0184198826656,2.0852525271321998,1.6193505834591082,2.1148572956643528,2.638347707413653e-11,0.078582,661.4043772910038,1.5480162239819129,198.4305948163629,93.71181819790259,104.71877661846032,95.30205792063026,9.416718697830069,2145.0188030211084
2021-03-31 11:00:00+00:00,200.0,3.09,15.0,102240.0,71.0,2350.0,294.75,276.35,0.0,21.600000000000023,3.2000000000000455,652.7783000000001,151.02282367611042,759.5809097014352,788.057857124161,648.4534886073966,797.0433336759233,111.71661848080521,167.59515140288477,47.687474882873744,42.312525117126256,1540.1733988168983,45.20108500506293,41.62567334852383,692.9507952298296,7.409278658241576,271.5724882094505,6.89722819973328,232.80209825969473,1605.6891970738443,7.306831250801306,5.500259591538139,7.412352812989217,3.3614214561645607e-10,0.078582,189.3970898128069,1.6308673859332279,692.9507952298296,535.216487567223,157.73430766260665,147.04382991386237,10.69047774874428,917.021654490842,70.9069636951859,31.980984878987847,359.21447443831966,3.833196760041738,311.5392594335408,3.576083374545668,269.85128264054873,965.0106854506903,3.779894993667832,2.905308610189234,3.8340212062550214,7.471235403992964e-11,0.078582,365.3607338769295,1.5808978069466175,359.21447443831966,248.46123078886956,110.7532436494501,100.06276590070581,10.69047774874428,2457.19505330774
2021-03-31 12:00:00+00:00,216.0,3.09,13.0,102180.0,72.0,2450.0,295.95,276.45,0.0,22.80000000000001,3.3000000000000114,680.5561,135.76763498601144,834.8083708687242,822.7871069643224,654.2103091686549,799.0803069345997,112.16928589833822,187.93017856950277,47.30465728982574,42.69534271017426,1286.7800214007448,56.98050432237984,39.5424264272113,579.340205190563,6.192001607506335,271.33670673023494,5.765801193234166,233.33384298874384,1345.3565503264128,6.106426021968782,4.6224602157476795,6.1941494979483425,2.447671017741005e-10,0.078582,226.53850505132843,1.6200739868605725,579.340205190563,454.9074278078643,124.43277738269866,113.2873856871993,11.145391695499354,1352.2035224974077,60.37381635437763,38.14360415361489,530.9365889922951,5.673022086293933,310.3597340177512,5.284112319324409,267.3110890966793,1412.5018189877878,5.594532127908177,4.247576303347529,5.6748255380278465,1.9735289813255725e-10,0.078582,247.19122155264492,1.6128266236814,530.9365889922951,412.6784739912955,118.2581150009996,107.11272330550024,11.145391695499354,2638.9835438981527
2021-03-31 13:00:00+00:00,225.0,3.09,13.0,102140.0,73.0,2430.0,296.75,276.45,0.0,23.600000000000023,3.3000000000000114,675.0005400000001,114.85678159211393,920.8540175930726,960.517983012528,610.6997537124125,783.0400594570342,108.69353178019975,207.52155805184077,50.14608907884211,39.85391092115789,906.8267803889759,69.46227457380682,35.436704397772566,409.58691288857625,4.374032084468886,271.0159284888082,4.07671661934322,234.15748906427822,954.5937272120211,4.313603960224145,3.2977095205987066,4.375104777421476,1.2940722423347521e-10,0.078582,320.4273863987037,1.598802050302421,409.58691288857625,323.0577277025627,86.52918518601354,75.4747762798652,11.054408906148343,1771.4740981615794,50.84675934850341,43.880507279056154,701.7688445278785,7.507370060053129,308.31535494619675,6.98433091042283,263.88251892512767,1843.0428336490068,7.404292639034877,5.5596767412929005,7.510524551211459,4.71697671840381e-10,0.078582,187.01722799947729,1.6425497852714042,701.7688445278785,581.4241478407807,120.34469668709775,109.29028778094941,11.054408906148343,2678.3008785505554
2021-03-31 14:00:00+00:00,234.0,3.09,16.0,102090.0,71.0,2150.0,297.15,276.65,0.0,24.0,3.5,597.2227,100.5286368962418,920.8584578349254,945.2294884893901,521.299963701031,744.6809796248464,101.09186806419285,224.992236209001,55.67203503898717,34.32796496101283,383.9237900648444,82.20824998952499,29.199642547720007,179.92385952001138,1.918966709311159,267.4744297711909,1.7904688595829896,232.35354300416932,416.0217831627422,1.8927672496567995,1.4650139461826708,1.919173439350852,4.759305023490372e-11,0.078582,729.4355754157384,1.5664875431262688,179.92385952001138,124.84346429021691,55.080395229794476,45.299745374560345,9.780649855234127,1999.5360038914096,43.201291249717485,47.045885292617676,797.4595541613612,8.536693596046938,306.8929792925537,7.9383872109920395,261.63915281658706,2076.9929046139864,8.42008472517206,6.2876561274191065,8.540769704944914,7.530713041151748e-10,0.078582,164.57620115670943,1.6589497558013753,797.4595541613612,671.2627194937731,126.1968346675881,116.41618481235398,9.780649855234127,2383.459793956254
2021-03-31 15:00:00+00:00,244.0,3.09,15.0,102050.0,68.0,1730.0,297.45,276.85,0.0,24.30000000000001,3.7000000000000455,480.55594,80.54487938525641,888.756413234954,833.5397530354958,393.27737166151616,672.1739210581437,88.67683556561803,240.12339498670198,63.086116417094274,26.913883582905722,49.88476141134902,94.9403707811186,25.24830572856958,32.8143377401952,0.3496948916677219,252.65494788942738,0.32614430112147164,219.18812163190057,71.48695674376432,0.3451798329404865,0.26769389924128123,0.3497017623574821,2.472998398752423e-11,0.078582,3999.5585173500835,1.5460154835142967,32.8143377401952,0.0,32.8143377401952,24.94432646133239,7.870011278862811,2042.4051295858285,38.703131698533824,47.89489984760508,816.4571711628042,8.741645435687499,306.37377147991356,8.125055232008975,261.0382525365069,2120.9502195262253,8.622454452875889,6.42414491629886,8.745918840339312,8.524541540034494e-10,0.078582,160.74678334086155,1.6633485396501464,816.4571711628042,693.5821555013373,122.87501566146693,115.00500438260413,7.870011278862811,2092.2898909971773
2021-03-31 16:00:00+00:00,246.0,2.57,18.0,101980.0,63.0,1200.0,297.15,277.35,0.0,24.0,4.2000000000000455,333.33360000000005,56.060601152156735,801.7962829792368,806.6469270918636,238.6351919096397,536.7786634304845,69.32595360179079,253.42411466055148,71.66328208164532,18.336717918354683,34.93905896524343,107.40100695815538,24.77147541193069,25.965476853021944,0.2766791834203703,250.5888803255027,0.25803505405384874,217.26628784169242,56.062318327310166,0.27313549125799197,0.21176298702297336,0.27668348492306755,2.2825420926885244e-11,0.078582,5054.513912565621,1.543545003493531,25.965476853021944,0.0,25.965476853021944,20.506509491961033,5.4589673610609095,1844.1817696389026,38.527912838138704,45.827877454523964,734.6588601931484,7.862542070506473,307.00313375449696,7.312398826934498,262.2462362391705,1917.6490702432977,7.755081914142497,5.808310244272342,7.866000636903631,6.296792179796046e-10,0.078582,178.64463509702324,1.652639200611938,734.6588601931484,627.24907515229,107.40978504085847,101.95081767979755,5.4589673610609095,1879.120828604146
2021-03-31 17:00:00+00:00,244.0,2.57,22.0,101970.0,57.0,680.0,296.15,277.65,0.0,23.0,4.5,188.88904000000002,31.166691600000004,609.2409981249407,1498.0843479988553,80.37177610691748,271.91653523364255,36.63001630236562,265.60271876730786,80.83908673897817,9.160913261021832,18.623023491411992,119.23654316935786,23.545662689643738,18.365318866150677,0.19564067769074509,248.06046489972027,0.1823668113780015,215.07409386657324,39.22237670845995,0.1931593728556916,0.14952055006646198,0.19564282901091085,1.8554342845956313e-11,0.078582,7146.233885538202,1.5371940108365276,18.365318866150677,0.0,18.365318866150677,15.271904028216161,3.093414837934515,1345.1125508535615,42.70332325466043,38.730829760545646,529.4510877593232,5.657910234850249,309.7400928386742,5.270538311910961,266.6174029927865,1405.2172370956853,5.579793980983326,4.237315047152746,5.659703850122649,2.1607164325009864e-10,0.078582,247.88477544815265,1.6158690668293743,529.4510877593232,447.7161365803873,81.73495117893583,78.64153634100131,3.093414837934515,1363.7355743449734
2021-03-31 18:00:00+00:00,262.0,2.06,21.0,101970.0,45.0,180.0,294.25,278.45,0.0,21.100000000000023,5.300000000000011,50.000040000000006,50.000040000000006,0.0,,0.054728552773154915,0.40414318657178444,0.05237633458074948,277.34517225022046,90.16721163112031,-0.16721163112030601,78.14871440088876,129.5692859871342,22.473076171778562,44.969991503022456,0.478928030246243,258.70861837294456,0.44717320471892397,225.0885871725983,100.65358487162565,0.47259360978599363,0.36802509288656393,0.4789409258135653,1.5457000083916065e-11,0.078582,2918.4542761405482,1.5316368902624697,44.969991503022456,-0.0,44.969991503022456,44.15114639886332,0.8188451041591364,92.09153955235051,49.76470973618178,22.473076171778562,44.969991503022456,0.478928030246243,295.66699242622235,0.44717320471892397,257.2440996258266,115.03266842471503,0.47259360978599363,0.36802509288656393,0.4789409258135653,1.5457000083916065e-11,0.078582,2918.4542761405482,1.5316368902624697,44.969991503022456,0.0,44.969991503022456,44.15114639886332,0.8188451041591364,170.2402539532393
2021-03-31 19:00:00+00:00,257.0,2.06,21.0,101970.0,,0.0,291.95,278.95,0.0,18.80000000000001,5.800000000000011,0.0,0.0,0.0,,0.0,0.0,0.0,289.28381680406767,99.24806891469028,-9.248068914690277,-7.9,138.67045045329246,18.80000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.188585565849765e-12,0.078582,inf,1.512606511990609,0.0,-0.0,0.0,0.0,0.0,-7.9,59.688380155672526,18.80000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.188585565849765e-12,0.078582,inf,1.512606511990609,0.0,0.0,0.0,0.0,0.0,-15.8
