date,WIND_DIRECTION,WIND_SPEED,CLOUD_COVER_TOTAL,PRESSURE_AIR_SURFACE_REDUCED,RADIATION_GLOBAL,PROBABILITY_RADIATION_GLOBAL_LAST_1H,TEMPERATURE_DEW_POINT_200,TEMPERATURE_AIR_200,WEATHER_SIGNIFICANT,TEMPERATURE_AIR_200DEGC,DEW_POINT_DEGC,RAD_WH,DHI_ERBS,DNI_DISC,DNI_DIRINDEX,GHI_CLEARSKY,DNI_CLEARSKY,DHI_CLEARSKY,AZIMUTH,ZENITH,ELEVATION,Ost_ac,Ost_aoi,Ost_cell_temperature,Ost_effective_irradiance,Ost_dc_i_sc,Ost_dc_v_oc,Ost_dc_i_mp,Ost_dc_v_mp,Ost_dc_p_mp,Ost_dc_i_x,Ost_dc_i_xx,Ost_diode_params_I_L,Ost_diode_params_I_o,Ost_diode_params_R_s,Ost_diode_params_R_sh,Ost_diode_params_nNsVth,Ost_total_irrad_poa_global,Ost_total_irrad_poa_direct,Ost_total_irrad_poa_diffuse,Ost_total_irrad_poa_sky_diffuse,Ost_total_irrad_poa_ground_diffuse,West_ac,West_aoi,West_cell_temperature,West_effective_irradiance,West_dc_i_sc,West_dc_v_oc,West_dc_i_mp,West_dc_v_mp,West_dc_p_mp,West_dc_i_x,West_dc_i_xx,West_diode_params_I_L,West_diode_params_I_o,West_diode_params_R_s,West_diode_params_R_sh,West_diode_params_nNsVth,West_total_irrad_poa_global,West_total_irrad_poa_direct,West_total_irrad_poa_diffuse,West_total_irrad_poa_sky_diffuse,West_total_irrad_poa_ground_diffuse,ALL_AC_POWER
2021-04-03 06:00:00+00:00,349.0,2.06,63.0,102650.0,30.0,6.0,274.55,276.75,2.0,3.6000000000000227,1.400000000000034,8.333340000000002,8.300421905629463,0.0,0.0,62.929924329993675,227.28843992332997,30.921317889656173,91.33580881089455,82.01279224979321,7.987207750206798,-7.9,42.669999939690705,3.827958508639383,7.465931175016498,0.0791751452807046,258.40459445535726,0.07412404167039416,226.43781839997106,16.784486286832603,0.07812497045380362,0.06145245204216107,0.07917549921303253,5.189192248678004e-13,0.078582,17578.9008662687,1.4350356695257152,7.465931175016498,0.0,7.465931175016498,7.329456990989975,0.13647418402652273,-7.9,121.29342688785229,3.827958508639383,7.465931175016498,0.0791751452807046,295.3195365204083,0.07412404167039416,258.7860781713955,19.1822700420944,0.07812497045380362,0.06145245204216107,0.07917549921303253,5.189192248678004e-13,0.078582,17578.9008662687,1.4350356695257152,7.465931175016498,-0.0,7.465931175016498,7.329456990989975,0.13647418402652273,-15.8
2021-04-03 07:00:00+00:00,356.0,2.57,60.0,102700.0,260.0,22.0,274.75,278.15,2.0,5.0,1.6000000000000227,72.22228000000001,71.06484881011122,0.0,0.0,219.3519476934776,515.2186997164762,65.96932133735575,103.34504757765535,72.73266612803062,17.267333871969388,130.82274748070125,32.733426170492464,6.899598656090612,63.93461693265681,0.6784720629292627,277.0833984990529,0.6355592834897525,243.87534416243705,154.99723899669527,0.6688301569939312,0.5280789394166087,0.6784980355286314,9.355058464318251e-13,0.078582,2052.7668780473005,1.450949979816952,63.93461693265681,0.0,63.93461693265681,62.75184067109361,1.1827762615631972,152.30032835080962,112.64702486584982,6.899598656090612,63.93461693265681,0.6784720629292627,316.66674114177476,0.6355592834897525,278.7146790427852,177.1397017105089,0.6688301569939312,0.5280789394166087,0.6784980355286314,9.355058464318251e-13,0.078582,2052.7668780473005,1.450949979816952,63.93461693265681,-0.0,63.93461693265681,62.75184067109361,1.1827762615631972,283.12307583151085
2021-04-03 08:00:00+00:00,3.0,3.09,60.0,102750.0,670.0,34.0,274.85,279.65,2.0,6.5,1.7000000000000455,186.11126000000002,175.2042790834622,35.01241199970086,26.20362326786452,378.11394846744406,662.6470726867407,86.53114983687937,116.34969751668058,63.92812703408193,26.071872965918068,447.2553661708789,26.657009614445418,12.112259424352478,194.20169117198913,2.063161980707781,283.68592224295594,1.9323462904995123,249.06583392678476,481.28144027859014,2.0331791607637553,1.597627553389125,2.06340188262189,2.4724797718836514e-12,0.078582,675.8070087235674,1.4779570174017125,194.20169117198913,31.29088221089444,162.9108089610947,159.86288551783568,3.047923443259007,401.2050547790161,102.68151118079591,10.944482946479823,153.79298056789867,1.6334704498668215,322.6650037664658,1.5294391839003088,283.62137544908563,433.7816450035326,1.609839110850774,1.265697092123192,1.6336208662617135,1.9947207661964232e-12,0.078582,853.3735643549549,1.4719067132229846,153.79298056789867,0.0,153.79298056789867,150.74505712463966,3.047923443259007,848.460420949895
2021-04-03 09:00:00+00:00,6.0,3.09,62.0,102770.0,1110.0,43.0,274.65,280.85,2.0,7.7000000000000455,1.5,308.33358000000004,256.7158616540402,107.62081907451028,92.62195854008336,513.1741090266227,741.3841921346182,99.7767245384656,131.08958392141722,56.134590739327685,33.865409260672315,801.9991462352908,27.273508980029607,17.576782758439233,341.767507521899,3.635091863048797,284.7331955938398,3.400595020972717,248.97723016734412,846.6707292426486,3.5821347865852533,2.786914418554563,3.6358357270490504,6.604209815267113e-12,0.078582,384.0121167504214,1.5062689666398157,341.767507521899,95.65652617910266,246.11098134279638,241.06143653381503,5.0495448089813415,566.2939318070031,91.97851890194467,13.880979929566273,213.8811955508233,2.2731260862037836,323.5461439574374,2.1279371039567136,283.7912341696442,603.8898969672542,2.2401728367513387,1.7557415829346148,2.273417187077184,3.4116699454617767e-12,0.078582,613.6250719096694,1.4871208405018244,213.8811955508233,0.0,213.8811955508233,208.83165074184194,5.0495448089813415,1368.293078042294
2021-04-03 10:00:00+00:00,6.0,3.6,63.0,102770.0,1440.0,47.0,274.25,282.05,2.0,8.900000000000034,1.1000000000000227,400.00032000000004,298.5103430505908,156.1766458500066,122.31821400493385,611.5862092805007,783.8006635465272,108.134640534217,148.19392022130114,50.05474164263786,39.94525835736214,969.1916156053821,34.22692440749033,20.517919232159798,413.0624163254194,4.396160718241586,284.16422910225765,4.110161831156893,247.8579354261674,1018.7362257379832,4.332285508552112,3.3534613857321527,4.397247986282323,1.1043083766559999e-11,0.078582,317.7313132662355,1.52150713133515,413.0624163254194,129.12940411935972,283.9330122060597,277.3822513727866,6.550760833273091,727.1940115606658,80.95089631075541,16.576578328038572,272.93234958231653,2.9024065976276434,323.7152667676746,2.7155964016763665,283.39846910475944,769.5958629414756,2.860334042413878,2.2323468550357735,2.9028809058421086,5.532102264843856e-12,0.078582,480.86225103344555,1.5010868610232861,272.93234958231653,24.563599855587498,248.36874972672905,241.81798889345595,6.550760833273091,1696.385627166048
2021-04-03 11:00:00+00:00,3.0,3.6,65.0,102760.0,1660.0,49.0,273.85,282.75,2.0,9.600000000000023,0.7000000000000455,461.11148000000003,313.09149075900746,196.78167057861478,93.74256771111261,665.3537846778684,803.2749979501087,112.38843283460403,167.6832757465254,46.514847355500585,43.485152644499415,1008.8811884774639,44.611775041544945,21.72009489937702,430.9167231402222,4.58739145053074,283.5671700684318,4.288018273972533,247.10016091976746,1059.5700055255163,4.52089512762653,3.493868933858888,4.588575054818206,1.358644834574582e-11,0.078582,304.5666527945192,1.5277356593118223,430.9167231402222,140.085275927055,290.83144721316717,283.27987569703294,7.551571516134257,893.0339985192953,69.95282792891744,18.997329481800122,334.11177554182797,3.554834215331221,323.7090705982264,3.325105538115549,282.7880798133495,940.3002103004303,3.5033328423297996,2.724421634991718,3.5555453609091265,8.47623801643373e-12,0.078582,392.81124943041556,1.513628885202387,334.11177554182797,67.45551374853953,266.6562617932884,259.1046902771542,7.551571516134257,1901.915186996759
2021-04-03 12:00:00+00:00,355.0,3.6,72.0,102740.0,1800.0,52.0,273.75,283.55,2.0,10.400000000000034,0.6000000000000227,500.00040000000007,299.2111711145696,260.43017357989083,164.71194227142098,670.3562509541315,804.9759207999405,112.77492239845901,188.37316839806317,46.175625885805836,43.824374114194164,959.3591562498843,56.505051521844706,21.96550265414974,411.19880220178084,4.377778167202639,282.8525820451823,4.092150388695455,246.47746959942293,1008.6228730259506,4.314483398901939,3.33677767143973,4.378856003915341,1.4170785401601542e-11,0.078582,319.1713188298572,1.5290071282892574,411.19880220178084,143.72189747436184,267.47690472741897,259.2884536858276,8.188451041591364,1060.1434303744109,59.378266448173626,21.555819860009326,396.63297836594666,4.2223467684286815,323.22881266602417,3.9464474813052104,281.8282384560741,1112.2203418156578,4.16129968295536,3.2193160515764006,4.223349512491151,1.3208318205275878e-11,0.078582,330.89246522237244,1.5268845427017685,396.63297836594666,132.6547647638258,263.97821360212083,255.78976256052948,8.188451041591364,2019.5025866242952
2021-04-03 13:00:00+00:00,352.0,3.6,77.0,102720.0,1650.0,48.0,273.55,283.85,2.0,10.700000000000045,0.4000000000000341,458.3337,290.1403875783994,241.59060845829512,150.093039534553,626.2341921506603,789.3328439399409,109.31251708924242,208.24215780952602,49.108319779815346,40.891680220184654,772.4960604560614,69.04202752784889,20.061547425568225,332.8395836533412,3.542162178639917,282.2686367255192,3.3116257904616226,246.49613892547856,816.3029709148258,3.4910331432653012,2.710263236672964,3.542868091009066,1.0203071778178625e-11,0.078582,394.31266725982914,1.5191426478053012,332.8395836533412,86.41286676247462,246.42671689086657,238.92063676940782,7.506080121458749,1135.3896786151456,49.784847622305875,22.652833808799638,424.9699379327748,4.525063522079323,322.9775790207095,4.22931598697115,281.27552328640377,1189.6030673788634,4.4597061914345115,3.445535273086107,4.5262149328031756,1.593887452027919e-11,0.078582,308.82858358974335,1.5325682229301802,424.9699379327748,155.985309583164,268.98462834961083,261.4785482281521,7.506080121458749,1907.885739071207
2021-04-03 14:00:00+00:00,351.0,3.6,81.0,102680.0,1390.0,45.0,273.55,284.05,2.0,10.900000000000034,0.4000000000000341,386.11142,262.8818660270167,222.54250249962791,136.97948622880995,536.3857510222045,752.3028991313457,101.82591184665,225.85926108429283,54.73879020228588,35.26120979771412,556.9936004246726,81.80175745201372,17.73331872038754,242.9511761754836,2.584311448985874,280.9994563738387,2.417508022454344,245.8575100519143,594.3625029311523,2.547156840883333,1.9882124336157263,2.5846873826671413,6.789133267897672e-12,0.078582,540.2026286351595,1.5070799867302551,242.9511761754836,31.73424349110278,211.21693268438082,204.89362882448526,6.323303859895552,1123.5557367327413,42.063874288093125,22.73805795393682,420.8892078985866,4.481710193913098,322.7744301712337,4.188690249585903,281.09860450735226,1177.4349838721505,4.417020896699788,3.41274819480773,4.4828396229275,1.6172350597033298e-11,0.078582,311.82283018200604,1.5330097731850643,420.8892078985866,165.21519910185225,255.67400879673437,249.3507049368388,6.323303859895552,1680.549337157414
2021-04-03 15:00:00+00:00,344.0,3.6,76.0,102660.0,1150.0,44.0,273.35,284.25,2.0,11.100000000000023,0.20000000000004547,319.4447,209.26910421787215,281.61930682299624,241.78629465461492,408.0263441918703,682.7454688312808,89.69885211577332,241.0395755455462,62.24051039678953,27.75948960321047,337.8571226000032,94.51344435473406,15.37338211337961,151.93542891468826,1.6153785029290628,278.1940018472544,1.5116947699413974,243.77911315014472,368.51961037002593,1.5923737324672422,1.2485834923577381,1.6155254567001576,4.463344016346247e-12,0.078582,863.8068483269486,1.4948530455429105,151.93542891468826,0.0,151.93542891468826,146.7039185270049,5.231510387683371,1197.182400223351,37.53079613181618,23.718204817204757,448.6264766806014,4.778051420831161,322.5812642463443,4.464951620429225,280.6607737856237,1253.1367767050408,4.709140636599825,3.6321586771775642,4.779334883084991,1.910528663464878e-11,0.078582,292.5437325301646,1.5380879596145427,448.6264766806014,223.33143808847086,225.2950385921305,220.06352820444715,5.231510387683371,1535.0395228233542
